,City,Temp,Latitude,Humidity,Cloudiness,Windspeed (mph)
0,khanapur,70.0,15.64,43.0,0.0,3.36
1,mazatlan,84.0,23.22,25.0,5.0,11.41
2,qaanaaq,-22.0,77.48,89.0,20.0,7.43
4,puerto ayora,81.0,-0.74,83.0,0.0,10.29
5,rikitea,79.0,-23.12,98.0,0.0,19.06
8,valdosta,62.0,30.83,41.0,1.0,4.7
9,punta arenas,52.0,-53.16,76.0,75.0,8.05
11,kambove,63.0,-10.88,88.0,12.0,2.39
12,saint anthony,57.0,43.97,24.0,1.0,9.17
13,busselton,73.0,-33.64,46.0,36.0,18.84
14,kapaa,81.0,22.08,57.0,75.0,11.41
15,makakilo city,84.0,21.35,42.0,20.0,8.05
16,tuatapere,66.0,-46.13,77.0,24.0,1.61
17,altamont,41.0,49.4,65.0,1.0,8.05
18,barrow,54.0,-38.31,78.0,44.0,8.32
19,mataura,71.0,-46.19,67.0,24.0,4.29
20,lensk,11.0,60.71,76.0,56.0,5.97
21,tasiilaq,16.0,65.61,78.0,92.0,41.38
23,ushuaia,46.0,-54.81,93.0,75.0,11.41
24,klyuchi,11.0,52.25,76.0,0.0,4.97
25,yerbogachen,13.0,61.28,84.0,76.0,9.22
26,nokaneng,74.0,-19.66,49.0,32.0,4.18
28,lompoc,59.0,34.64,76.0,75.0,9.17
29,beringovskiy,-1.0,63.05,100.0,0.0,19.51
33,maesteg,51.0,51.6,100.0,92.0,2.24
34,hobart,64.0,-42.88,82.0,75.0,4.7
35,nago,48.0,45.88,65.0,0.0,3.36
36,jamestown,70.0,-33.21,82.0,44.0,4.63
37,castro,55.0,-42.48,100.0,75.0,5.82
39,provideniya,9.0,64.42,50.0,68.0,15.66
40,ajdabiya,62.0,30.75,66.0,0.0,7.99
41,mar del plata,57.0,-46.43,52.0,8.0,6.98
42,hambantota,73.0,6.12,100.0,20.0,3.36
43,okhotsk,13.0,59.36,82.0,68.0,4.74
44,port macquarie,83.0,-31.43,61.0,76.0,4.7
45,sovetskiy,19.0,56.76,82.0,20.0,5.3
46,baruun-urt,17.0,46.68,58.0,56.0,9.66
47,fortuna,50.0,38.18,61.0,0.0,5.82
48,vrangel,30.0,42.73,100.0,8.0,22.08
49,gewane,67.0,10.16,75.0,12.0,2.73
50,hermanus,65.0,-34.42,65.0,56.0,5.99
51,vao,35.0,59.1,99.0,68.0,14.58
53,cape town,66.0,-33.93,68.0,0.0,24.16
54,juneau,48.0,58.3,81.0,75.0,4.7
55,bredasdorp,63.0,-34.53,88.0,100.0,1.12
57,vung tau,81.0,10.35,98.0,44.0,3.06
58,dingle,80.0,11.0,65.0,0.0,11.01
59,hobyo,79.0,5.35,88.0,88.0,11.45
60,yulara,91.0,-25.24,17.0,0.0,17.22
61,minnedosa,37.0,50.25,74.0,20.0,9.17
62,voi,67.0,-3.4,85.0,8.0,3.06
64,yelbarga,67.0,15.63,60.0,0.0,5.75
65,salalah,75.0,17.01,73.0,0.0,1.12
66,vaini,70.0,15.34,43.0,0.0,3.36
67,komsomolskiy,26.0,67.55,92.0,80.0,4.63
68,upernavik,-14.0,72.79,100.0,32.0,1.61
69,saint-philippe,43.0,45.36,86.0,90.0,10.29
70,norman wells,36.0,65.28,64.0,75.0,12.75
71,nikolskoye,37.0,59.7,93.0,90.0,15.66
72,ulaanbaatar,16.0,47.92,72.0,40.0,8.95
73,chagoda,32.0,59.16,92.0,92.0,7.43
75,severo-kurilsk,25.0,50.68,100.0,48.0,10.56
77,gondanglegi,75.0,-7.75,98.0,88.0,2.95
78,mount isa,90.0,-20.73,40.0,0.0,11.41
79,dubbo,81.0,-32.25,51.0,8.0,9.17
80,avarua,86.0,-21.21,79.0,0.0,9.17
81,hilo,76.0,19.71,73.0,90.0,15.26
82,arraial do cabo,77.0,-22.97,97.0,92.0,16.26
83,codrington,83.0,-28.95,69.0,75.0,3.36
84,new norfolk,63.0,-42.78,82.0,75.0,4.7
85,cherskiy,-8.0,68.75,62.0,0.0,2.62
86,avera,63.0,33.19,44.0,1.0,9.17
87,yeniseysk,22.0,58.45,83.0,8.0,5.97
88,hithadhoo,85.0,-0.6,100.0,76.0,5.75
89,pevek,-6.0,69.7,100.0,68.0,2.17
90,albany,41.0,42.65,80.0,90.0,4.7
91,sept-iles,31.0,50.2,86.0,90.0,9.17
92,victoria,82.0,5.28,83.0,75.0,2.24
94,port alfred,63.0,-33.59,90.0,12.0,1.99
95,mahebourg,82.0,-20.41,74.0,75.0,4.7
96,kupino,12.0,54.36,74.0,0.0,10.0
97,talnakh,21.0,69.49,94.0,80.0,3.51
98,ugoofaaru,85.0,5.67,98.0,68.0,12.8
99,alofi,81.0,-19.06,83.0,90.0,8.05
100,lohja,37.0,60.25,55.0,0.0,17.22
101,nanortalik,22.0,60.14,100.0,68.0,29.91
102,tiarei,84.0,-17.53,74.0,75.0,11.41
103,carnarvon,54.0,-30.97,61.0,0.0,10.0
104,veraval,46.0,49.65,100.0,0.0,6.93
105,sao felix do xingu,78.0,-6.64,89.0,32.0,1.95
106,itarema,78.0,-2.92,96.0,76.0,4.18
107,joshimath,4.0,30.57,97.0,68.0,0.6
108,the pas,45.0,53.82,42.0,1.0,5.82
109,halifax,33.0,44.65,80.0,40.0,6.93
110,inuvik,14.0,68.36,78.0,90.0,12.75
111,kpandu,76.0,7.0,90.0,8.0,4.18
112,hanna,54.0,51.64,55.0,0.0,7.0
114,longyearbyen,19.0,78.22,85.0,20.0,8.05
115,taltal,62.0,-25.41,87.0,0.0,2.39
116,nzerekore,69.0,7.76,99.0,92.0,3.74
117,pisek,41.0,48.31,90.0,1.0,8.05
118,lebu,64.0,8.96,45.0,40.0,6.93
119,rognan,37.0,67.1,59.0,40.0,26.4
120,luderitz,60.0,-26.65,82.0,0.0,15.93
121,santiago tuxtla,74.0,18.47,75.0,68.0,7.31
122,ponte de sor,51.0,39.25,63.0,0.0,7.99
123,east london,68.0,-33.02,100.0,0.0,11.68
124,katsuura,57.0,33.93,66.0,75.0,18.34
125,knysna,63.0,-34.04,98.0,64.0,2.73
126,kysyl-syr,-5.0,63.9,66.0,12.0,7.2
127,eyl,73.0,7.98,100.0,68.0,8.66
128,port elizabeth,52.0,39.31,93.0,90.0,24.16
130,carhuaz,47.0,-9.28,95.0,88.0,1.39
131,cam ranh,81.0,11.92,83.0,20.0,2.24
133,sai buri,73.0,6.7,100.0,0.0,4.7
134,axim,78.0,4.87,100.0,92.0,7.54
136,kruisfontein,60.0,-34.0,86.0,0.0,8.21
138,muscatine,51.0,41.42,61.0,1.0,10.29
139,mora,32.0,61.01,61.0,0.0,5.82
140,saskylakh,8.0,71.97,78.0,64.0,1.16
141,bundaberg,91.0,-24.87,58.0,75.0,5.82
142,oistins,75.0,13.07,94.0,75.0,19.46
143,usinsk,22.0,66.0,83.0,32.0,6.2
144,guatire,75.0,10.47,88.0,40.0,2.95
145,makaleng,73.0,-20.8,50.0,0.0,12.01
146,grand gaube,82.0,-20.01,74.0,75.0,4.7
147,umm kaddadah,66.0,13.6,18.0,0.0,8.77
148,finkenstein,43.0,46.56,69.0,0.0,5.82
149,butaritari,82.0,3.07,100.0,76.0,8.99
150,rianxo,52.0,42.65,81.0,0.0,4.7
151,dolores,52.0,-36.31,84.0,32.0,6.42
152,egvekinot,-3.0,66.32,72.0,12.0,3.4
154,kodiak,54.0,39.95,18.0,1.0,5.82
155,guerrero negro,65.0,27.97,58.0,68.0,17.27
156,vestmannaeyjar,38.0,63.44,97.0,76.0,17.94
157,georgetown,81.0,6.8,78.0,20.0,11.41
158,torbay,30.0,47.66,63.0,5.0,14.99
159,ishigaki,75.0,24.34,88.0,40.0,18.34
160,geraldton,34.0,49.72,59.0,90.0,10.29
161,bethel,45.0,60.79,65.0,75.0,12.75
162,berlevag,31.0,70.86,100.0,32.0,18.84
163,maceio,82.0,-9.67,69.0,0.0,8.05
164,cervo,63.0,-22.19,89.0,80.0,7.65
165,almaznyy,37.0,48.03,93.0,40.0,8.95
166,canavieiras,76.0,-15.68,100.0,88.0,2.39
167,mogadishu,82.0,2.04,100.0,8.0,18.84
169,yellowknife,41.0,62.45,65.0,20.0,17.22
170,khatanga,0.0,71.98,74.0,48.0,10.22
171,chuy,61.0,-33.69,92.0,0.0,8.77
172,chokurdakh,-16.0,70.62,47.0,12.0,4.52
173,kaabong,63.0,3.51,72.0,0.0,4.41
174,sao filipe,70.0,14.9,99.0,12.0,14.47
175,lasa,55.0,34.92,81.0,0.0,11.41
176,ballina,53.0,54.11,89.0,92.0,18.99
177,hervey bay,91.0,-25.3,58.0,75.0,5.82
178,korem,55.0,12.51,88.0,76.0,2.06
179,chumikan,5.0,54.72,60.0,8.0,4.18
180,myrtle beach,59.0,33.7,62.0,90.0,5.82
181,meulaboh,78.0,4.14,100.0,24.0,4.18
182,namibe,78.0,-15.19,100.0,0.0,0.27
183,huron,50.0,44.36,75.0,1.0,6.93
184,kamaishi,48.0,39.28,57.0,75.0,6.93
185,clyde river,-22.0,70.47,67.0,75.0,8.05
186,saint george,53.0,39.45,87.0,20.0,4.7
187,aklavik,14.0,68.22,78.0,90.0,12.75
188,eureka,58.0,40.8,71.0,1.0,6.93
189,tan an,82.0,10.54,83.0,40.0,3.36
190,twentynine palms,72.0,34.14,38.0,40.0,17.22
191,thompson,30.0,55.74,54.0,20.0,13.87
192,gaogou,44.0,31.12,95.0,76.0,12.57
193,faya,61.0,18.39,58.0,0.0,5.82
194,aksehir,31.0,38.36,86.0,0.0,2.39
195,victor harbor,76.0,-35.55,53.0,0.0,4.7
196,moose factory,25.0,51.26,92.0,90.0,18.34
197,svetlogorsk,28.0,53.14,92.0,75.0,4.47
198,cotonou,72.0,6.37,100.0,40.0,3.36
200,sladkovicovo,41.0,48.2,74.0,0.0,2.24
201,ponta do sol,66.0,-20.63,97.0,92.0,7.09
202,mackay,57.0,53.65,37.0,5.0,9.17
203,ivanteyevka,36.0,55.97,86.0,40.0,8.95
204,ares,53.0,43.43,87.0,0.0,6.93
205,wormeldange,45.0,49.61,83.0,1.0,5.82
208,anadyr,-13.0,64.73,75.0,0.0,13.42
209,nadym,26.0,65.53,88.0,76.0,6.64
210,otradnoye,37.0,59.77,93.0,90.0,15.66
211,contamana,79.0,-7.35,87.0,44.0,2.28
213,ladushkin,45.0,54.57,93.0,90.0,22.37
214,hofn,39.0,64.25,100.0,80.0,14.47
215,touros,79.0,-5.2,94.0,20.0,2.24
216,bathsheba,75.0,13.22,94.0,75.0,19.46
218,port lavaca,71.0,28.61,64.0,1.0,10.29
219,atuona,82.0,-9.8,100.0,0.0,15.48
220,trinidad,57.0,-33.52,64.0,36.0,8.77
221,missoula,51.0,46.87,36.0,1.0,1.72
222,kabompo,66.0,-13.6,82.0,20.0,2.95
224,tazovskiy,24.0,67.47,95.0,88.0,6.64
225,limoncito,66.0,-18.03,93.0,90.0,9.17
226,leesburg,44.0,39.12,86.0,90.0,19.46
228,roald,45.0,62.58,52.0,32.0,14.99
229,lubumbashi,63.0,-11.66,86.0,20.0,3.06
231,san jose,73.0,15.79,84.0,0.0,3.06
232,berdigestyakh,-9.0,62.1,64.0,0.0,3.29
233,andilamena,66.0,-17.01,95.0,36.0,4.97
234,along,52.0,28.17,95.0,100.0,1.72
235,harper,72.0,30.3,37.0,1.0,4.74
236,virden,34.0,49.85,88.0,0.0,3.18
237,college,52.0,64.86,34.0,75.0,3.36
239,katherine,82.0,-14.47,65.0,0.0,6.93
